Make,Model,Type,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (MPG),Fuel Consumption Hwy (MPG),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/m)
GMC,SIERRA 4WD FFV,TRUCK,4.3,6,A6,E,11.586945812807881,15.47467105263158,18.0,16,473.14596
GMC,SIERRA 4WD FFV,TRUCK,5.3,8,A6,X,15.681000000000001,21.982710280373833,13.1,22,494.06738
GMC,SIERRA 4WD FFV,TRUCK,5.3,8,A6,E,11.36304347826087,16.334375,17.9,16,510.16078
GMC,SIERRA eASSIST 4WD,TRUCK,5.3,8,A8,X,16.334375,21.001339285714288,13.0,22,487.63002
GMC,TERRAIN,SUV,2.4,4,A6,X,21.383181818181818,31.362000000000002,9.4,30,355.66414
GMC,TERRAIN FFV,SUV,2.4,4,A6,X,21.383181818181818,31.362000000000002,9.4,30,355.66414
GMC,TERRAIN FFV,SUV,2.4,4,A6,E,15.077884615384615,21.383181818181818,13.6,21,358.88282
GMC,TERRAIN,SUV,3.6,6,A6,X,16.681914893617023,24.24896907216495,12.1,23,458.6619
GMC,TERRAIN AWD,SUV,2.4,4,A6,X,20.453478260869566,28.33915662650602,10.1,28,381.41358
GMC,TERRAIN AWD,SUV,3.6,6,A6,X,15.681000000000001,22.61682692307692,13.0,22,489.23936
GMC,YUKON,SUV,5.3,8,A6,X,15.577152317880795,22.61682692307692,13.0,22,490.8487
GMC,YUKON FFV,SUV,5.3,8,A6,X,15.577152317880795,22.61682692307692,13.0,22,490.8487
GMC,YUKON FFV,SUV,5.3,8,A6,E,11.76075,17.423333333333332,17.1,17,457.05255999999997
GMC,YUKON 4WD,SUV,5.3,8,A6,X,15.47467105263158,21.779166666666665,13.2,21,498.8954
GMC,YUKON 4WD FFV,SUV,5.3,8,A6,X,15.47467105263158,21.779166666666665,13.2,21,498.8954
GMC,YUKON 4WD FFV,SUV,5.3,8,A6,E,11.30841346153846,16.221724137931034,18.0,16,481.19266
GMC,YUKON DENALI 4WD,SUV,6.2,8,A8,Z,14.7009375,20.103846153846156,14.1,20,531.0822
GMC,YUKON XL,SUV,5.3,8,A6,X,15.577152317880795,22.61682692307692,13.0,22,490.8487
GMC,YUKON XL FFV,SUV,5.3,8,A6,X,15.577152317880795,22.61682692307692,13.0,22,490.8487
GMC,YUKON XL FFV,SUV,5.3,8,A6,E,11.76075,17.423333333333332,17.1,17,457.05255999999997
GMC,YUKON XL 4WD,SUV,5.3,8,A6,X,15.2737012987013,21.779166666666665,13.3,21,502.11408
GMC,YUKON XL 4WD FFV,SUV,5.3,8,A6,X,15.2737012987013,21.779166666666665,13.3,21,502.11408
GMC,YUKON XL 4WD FFV,SUV,5.3,8,A6,E,10.643212669683257,15.2737012987013,19.1,15,510.16078
GMC,YUKON XL DENALI 4WD,SUV,6.2,8,A8,Z,14.430368098159509,20.103846153846156,14.2,20,535.91022
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,25.56684782608696,34.08913043478261,8.2,34,305.7746
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,22.61682692307692,31.78581081081081,9.0,31,337.9614
HONDA,ACCORD COUPE,MID-SIZE,3.5,6,AS6,X,20.632894736842104,31.78581081081081,9.6,29,362.1015
